pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,ema_aligned,volume_confirmed,volume_used,breakout_strength_atr,exit_date,exit_price,outcome,bars_held,strategy,asset_class,rsi_divergence,entry_type,mbl_position_ok,price_above_ema200,golden_cross_state
YFI-USD,LONG,2021-10-26,37532.98046875,33412.662751499105,45773.61590325179,69,True,True,True,0.047,2021-10-31,33412.662751499105,LOSS,5,donchian,crypto,,,,,
CVX-USD,LONG,2021-10-28,28.618494033813477,22.81811328333632,40.21925553476779,71,True,True,True,0.393,2021-11-05,22.81811328333632,LOSS,8,donchian,crypto,,,,,
DOGE-USD,LONG,2021-10-28,0.3004469871520996,0.2477953720670661,0.40575021732216665,71,True,True,True,0.703,2021-11-10,0.2477953720670661,LOSS,13,donchian,crypto,,,,,
LRC-USD,LONG,2021-10-28,0.5349569916725159,0.4378876240805638,0.72909572685642,71,True,True,True,0.493,2021-11-01,0.72909572685642,WIN,4,donchian,crypto,,,,,
MANA-USD,LONG,2021-10-28,0.9213150143623352,0.7775988378598083,1.208747367367389,71,True,True,True,0.796,2021-10-29,1.208747367367389,WIN,1,donchian,crypto,,,,,
SAND-USD,LONG,2021-10-28,0.9384080171585083,0.7932224587862038,1.2287791339031173,71,True,True,True,0.708,2021-10-30,1.2287791339031173,WIN,2,donchian,crypto,,,,,
GNO-USD,LONG,2021-10-29,460.3280944824219,409.6217620033182,561.7407594406292,72,True,False,True,0.953,2021-11-07,561.7407594406292,WIN,9,donchian,crypto,,,,,
BAT-USD,LONG,2021-10-30,1.2429929971694946,1.0496821560613714,1.6296146793857411,73,True,True,True,3.484,2021-10-31,1.0496821560613714,LOSS,1,donchian,crypto,,,,,
CHZ-USD,LONG,2021-10-30,0.51493901014328,0.41689334090799707,0.711030348613846,73,True,True,True,3.038,2021-10-31,0.41689334090799707,LOSS,1,donchian,crypto,,,,,
ENJ-USD,LONG,2021-10-30,3.0582709312438965,2.563037970285241,4.048736853161207,73,True,True,True,1.874,2021-10-31,2.563037970285241,LOSS,1,donchian,crypto,,,,,
GALA-USD,LONG,2021-10-30,0.10386800020933151,0.08138954536543122,0.1488249098971321,73,True,True,True,0.361,2021-11-10,0.08138954536543122,LOSS,11,donchian,crypto,,,,,
HBAR-USD,LONG,2021-10-30,0.4190250039100647,0.35061911806703944,0.5558367755961152,73,True,True,True,0.14,2021-11-18,0.35061911806703944,LOSS,19,donchian,crypto,,,,,
IMX-USD,LONG,2021-10-30,0.8493829965591431,0.6458504899962366,1.256448009684956,73,True,True,True,3.018,2021-11-03,0.6458504899962366,LOSS,4,donchian,crypto,,,,,
KNC-USD,LONG,2021-10-30,1.9251480102539062,1.6630153338625713,2.449413363036576,73,True,True,True,0.724,2021-11-16,1.6630153338625713,LOSS,17,donchian,crypto,,,,,
MANA-USD,LONG,2021-10-30,3.5646920204162598,2.879889187836156,4.9342976855764675,73,True,True,True,6.074,2021-10-31,2.879889187836156,LOSS,1,donchian,crypto,,,,,
THETA-USD,LONG,2021-10-30,8.163121223449707,6.806011403127558,10.877340864094005,73,True,True,True,1.139,2021-11-10,6.806011403127558,LOSS,11,donchian,crypto,,,,,
ANKR-USD,LONG,2021-10-31,0.12014900147914886,0.0921562512642888,0.176134501908869,74,True,True,True,0.293,2021-11-26,0.176134501908869,WIN,26,donchian,crypto,,,,,
ICX-USD,LONG,2021-10-31,2.3263959884643555,1.966081498357712,3.0470249686776425,74,True,True,True,0.272,2021-11-10,1.966081498357712,LOSS,10,donchian,crypto,,,,,
DOT-USD,LONG,2021-11-01,49.98225402832031,42.7836459684508,64.37947014805934,75,True,True,True,1.021,2021-11-10,42.7836459684508,LOSS,9,donchian,crypto,,,,,
QTUM-USD,LONG,2021-11-01,16.861225128173828,14.001462447841845,22.580750488837793,75,True,True,True,0.359,2021-11-18,14.001462447841845,LOSS,17,donchian,crypto,,,,,
RUNE-USD,LONG,2021-11-01,15.871831893920898,13.149472047155317,21.31655158745206,75,True,True,True,0.649,2021-11-09,13.149472047155317,LOSS,8,donchian,crypto,,,,,
JASMY-USD,LONG,2021-11-02,0.27757298946380615,0.2181270723260882,0.3964648237392421,76,True,True,True,3.264,2021-11-03,0.2181270723260882,LOSS,1,donchian,crypto,,,,,
LRC-USD,LONG,2021-11-02,1.4383759498596191,1.1623906379681421,1.9903465736425732,76,True,True,True,2.354,2021-11-03,1.1623906379681421,LOSS,1,donchian,crypto,,,,,
MKR-USD,LONG,2021-11-02,2806.872802734375,2472.010007373359,3476.5983934564074,76,True,True,True,0.615,2021-11-03,3476.5983934564074,WIN,1,donchian,crypto,,,,,
RENDER-USD,LONG,2021-11-02,1.4065150022506714,1.140509730421254,1.9385255459095063,76,True,True,True,1.675,2021-11-07,1.9385255459095063,WIN,5,donchian,crypto,,,,,
RLC-USD,LONG,2021-11-02,5.299221038818359,4.314636059427347,7.268390997600385,76,True,True,True,0.728,2021-11-10,4.314636059427347,LOSS,8,donchian,crypto,,,,,
SAND-USD,LONG,2021-11-02,3.0660879611968994,2.398825996484873,4.400611890620953,76,True,True,True,1.967,2021-11-09,2.398825996484873,LOSS,7,donchian,crypto,,,,,
TRX-USD,LONG,2021-11-02,0.1073950007557869,0.0958846849246888,0.1304156324179831,76,True,True,True,0.239,2021-11-26,0.0958846849246888,LOSS,24,donchian,crypto,,,,,
AVAX-USD,LONG,2021-11-03,75.430419921875,64.84236162122404,96.60653652317691,77,True,True,True,0.481,2021-11-08,96.60653652317691,WIN,5,donchian,crypto,,,,,
BAND-USD,LONG,2021-11-03,10.335929870605469,8.792658251900066,13.422473108016273,77,True,True,True,0.112,2021-11-10,8.792658251900066,LOSS,7,donchian,crypto,,,,,
CRO-USD,LONG,2021-11-03,0.2692379951477051,0.23446743181204127,0.3387791218190327,77,True,True,True,0.746,2021-11-05,0.3387791218190327,WIN,2,donchian,crypto,,,,,
EGLD-USD,LONG,2021-11-03,307.7010803222656,264.3451413082968,394.4129583502033,77,True,True,True,0.452,2021-11-21,394.4129583502033,WIN,18,donchian,crypto,,,,,
SNX-USD,LONG,2021-11-03,11.262425422668457,9.556107640546156,14.67506098691306,77,True,True,True,0.123,2021-11-10,9.556107640546156,LOSS,7,donchian,crypto,,,,,
XRP-USD,LONG,2021-11-03,1.2087960243225098,1.0716561471162103,1.4830757787351088,77,True,True,True,0.339,2021-11-16,1.0716561471162103,LOSS,13,donchian,crypto,,,,,
RVN-USD,LONG,2021-11-04,0.14493800699710846,0.12216668656647671,0.19048064785837196,78,True,True,True,0.407,2021-11-10,0.12216668656647671,LOSS,6,donchian,crypto,,,,,
SOL-USD,LONG,2021-11-04,247.3877716064453,213.3873366842438,315.38864145084835,78,True,False,True,0.063,2021-11-17,213.3873366842438,LOSS,13,donchian,crypto,,,,,
BNB-USD,LONG,2021-11-06,636.1139526367188,574.2754035805114,759.7910507491335,80,True,False,True,0.664,2021-11-16,574.2754035805114,LOSS,10,donchian,crypto,,,,,
ENJ-USD,LONG,2021-11-06,3.5005578994750977,2.728266488797175,5.045140720830943,80,True,True,True,0.012,2021-11-10,2.728266488797175,LOSS,4,donchian,crypto,,,,,
API3-USD,LONG,2021-11-07,6.584994792938232,5.420252966120972,8.914478446572753,81,True,True,True,0.614,2021-11-09,5.420252966120972,LOSS,2,donchian,crypto,,,,,
JUP-USD,LONG,2021-11-07,0.0286289993673563,0.021667571961402895,0.04255185417926311,81,True,True,True,0.5,2021-11-16,0.04255185417926311,WIN,9,donchian,crypto,,,,,
UMA-USD,LONG,2021-11-07,15.982217788696289,12.814070373653806,22.318512618781256,81,True,True,True,0.969,2021-11-15,22.318512618781256,WIN,8,donchian,crypto,,,,,
BTC-USD,LONG,2021-11-08,67566.828125,62223.14084251629,78254.20268996742,82,True,False,True,0.238,2021-11-16,62223.14084251629,LOSS,8,donchian,crypto,,,,,
GNO-USD,LONG,2021-11-08,580.76318359375,510.9535970482955,720.382356684659,82,True,True,True,0.449,2021-11-09,510.9535970482955,LOSS,1,donchian,crypto,,,,,
LRC-USD,LONG,2021-11-08,2.0346579551696777,1.5316371829699547,3.040699499569124,82,True,True,True,1.283,2021-11-10,3.040699499569124,WIN,2,donchian,crypto,,,,,
LTC-USD,LONG,2021-11-08,228.69619750976562,204.85095084102414,276.3866908472486,82,True,False,True,1.231,2021-11-10,276.3866908472486,WIN,2,donchian,crypto,,,,,
NEO-USD,LONG,2021-11-08,50.56210708618164,44.82793499543497,62.03045126767498,82,True,True,True,0.898,2021-11-16,44.82793499543497,LOSS,8,donchian,crypto,,,,,
