pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,rsi_divergence,adx_strong,exit_date,exit_price,outcome,bars_held
NZDCAD,LONG,2025-05-05,0.8225499987602234,0.805074995499934,0.8575000052808022,975,False,False,2025-09-25,0.805074995499934,LOSS,103.0
NZDCAD,SHORT,2025-10-01,0.8068000078201294,0.8186688370972591,0.7830623492658699,1082,False,False,2026-01-26,0.8186688370972591,LOSS,81.0
NZDCAD,LONG,2026-02-23,0.819267988204956,0.8080311611274685,0.8417416423599311,1183,False,True,2026-03-03,0.8080311611274685,LOSS,6.0
NZDCAD,LONG,2026-04-23,0.8069499731063843,0.795596146016352,0.8296576272864489,1226,False,False,,,OPEN,
NZDCHF,SHORT,2022-07-22,0.6026999950408936,0.6149866796134028,0.578126625895875,252,False,True,2022-09-13,0.578126625895875,WIN,37.0
NZDCHF,LONG,2022-12-19,0.595329999923706,0.5814182204264172,0.6231535589182837,358,False,True,2022-12-21,0.5814182204264172,LOSS,2.0
NZDCHF,LONG,2023-01-12,0.5926600098609924,0.5790217666236606,0.6199364963356562,376,False,False,2023-02-15,0.5790217666236606,LOSS,24.0
NZDCHF,SHORT,2023-05-02,0.5521900057792664,0.5638806020036005,0.5288088133305981,454,False,True,2023-05-08,0.5638806020036005,LOSS,4.0
NZDCHF,SHORT,2023-06-28,0.5497999787330627,0.5602646933592917,0.5288705494806047,495,False,False,2023-08-08,0.5288705494806047,WIN,29.0
NZDCHF,SHORT,2023-09-04,0.5259900093078613,0.5348569334208104,0.5082561610819631,543,False,True,2023-09-20,0.5348569334208104,LOSS,12.0
NZDCHF,LONG,2023-11-21,0.5340399742126465,0.52352033371561,0.5550792552067194,599,False,False,2024-05-17,0.5550792552067194,WIN,128.0
NZDCHF,LONG,2024-06-03,0.5540900230407715,0.5455923123417609,0.5710854444387927,738,False,False,2024-06-14,0.5455923123417609,LOSS,9.0
NZDCHF,LONG,2024-07-09,0.5503399968147278,0.5430230589992621,0.5649738724456592,764,False,False,2024-07-16,0.5430230589992621,LOSS,5.0
NZDCHF,SHORT,2024-08-13,0.5205000042915344,0.5350838552450236,0.49133230238455616,789,False,True,2024-09-24,0.5350838552450236,LOSS,30.0
NZDCHF,SHORT,2024-10-18,0.5247899889945984,0.5341527829277458,0.5060644011283035,837,False,False,2024-12-19,0.5060644011283035,WIN,44.0
NZDCHF,SHORT,2025-01-03,0.5098000168800354,0.5196229346633325,0.49015418131344113,891,False,True,2025-04-04,0.49015418131344113,WIN,65.0
NZDCHF,SHORT,2025-04-22,0.48532000184059143,0.5034402142294913,0.4490795770627918,966,False,False,2025-11-13,0.4490795770627918,WIN,147.0
