pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,ema_aligned,volume_confirmed,volume_used,breakout_strength_atr,exit_date,exit_price,outcome,bars_held,strategy,asset_class,rsi_divergence
LRC-USD,LONG,2021-10-28,0.5349569916725159,0.438299191842897,0.7282725913317536,79,True,True,True,0.495,2021-11-01,0.7282725913317536,WIN,4,donchian,crypto,
SAND-USD,LONG,2021-10-28,0.9384080171585083,0.7934611231220562,1.2283018052314125,79,True,True,True,0.709,2021-10-30,1.2283018052314125,WIN,2,donchian,crypto,
BAT-USD,LONG,2021-10-30,1.2429929971694946,1.0496919018987494,1.629595187710985,81,True,True,True,3.485,2021-10-31,1.0496919018987494,LOSS,1,donchian,crypto,
CHZ-USD,LONG,2021-10-30,0.51493901014328,0.4168997162891498,0.7110175978515405,81,True,True,True,3.038,2021-10-31,0.4168997162891498,LOSS,1,donchian,crypto,
ENJ-USD,LONG,2021-10-30,3.0582709312438965,2.5637085469964043,4.047395699738881,81,True,True,True,1.877,2021-10-31,2.5637085469964043,LOSS,1,donchian,crypto,
GALA-USD,LONG,2021-10-30,0.10386800020933151,0.08138937976360502,0.1488252411007845,81,True,True,True,0.361,2021-11-10,0.08138937976360502,LOSS,11,donchian,crypto,
HBAR-USD,LONG,2021-10-30,0.4190250039100647,0.35058471411766534,0.5559055834948634,81,True,True,True,0.14,2021-11-18,0.35058471411766534,LOSS,19,donchian,crypto,
IMX-USD,LONG,2021-10-30,0.8493829965591431,0.6458174397743865,1.256514110128656,81,True,True,True,3.018,2021-11-03,0.6458174397743865,LOSS,4,donchian,crypto,
KNC-USD,LONG,2021-10-30,1.9251480102539062,1.6631854928207352,2.4490730451202483,81,True,True,True,0.724,2021-11-16,1.6631854928207352,LOSS,17,donchian,crypto,
MANA-USD,LONG,2021-10-30,3.5646920204162598,2.879984421417258,4.934107218414264,81,True,True,True,6.075,2021-10-31,2.879984421417258,LOSS,1,donchian,crypto,
THETA-USD,LONG,2021-10-30,8.163121223449707,6.804843079242148,10.879677511864825,81,True,True,True,1.138,2021-11-10,6.804843079242148,LOSS,11,donchian,crypto,
ANKR-USD,LONG,2021-10-31,0.12014900147914886,0.09215534521827656,0.17613631400089347,82,True,True,True,0.293,2021-11-26,0.17613631400089347,WIN,26,donchian,crypto,
ICX-USD,LONG,2021-10-31,2.3263959884643555,1.9662746321130515,3.0466387011669633,82,True,True,True,0.273,2021-11-10,1.9662746321130515,LOSS,10,donchian,crypto,
QTUM-USD,LONG,2021-11-01,16.861225128173828,13.998117554800114,22.587440274921256,83,True,True,True,0.359,2021-11-18,13.998117554800114,LOSS,17,donchian,crypto,
RUNE-USD,LONG,2021-11-01,15.871831893920898,13.152013282473305,21.311469116816085,83,True,True,True,0.65,2021-11-09,13.152013282473305,LOSS,8,donchian,crypto,
DOT-USD,LONG,2021-11-02,51.631351470947266,44.20657607968668,66.48090225346844,84,True,True,True,0.044,2021-11-10,44.20657607968668,LOSS,8,donchian,crypto,
